name;ts1;ts2;GT;LogSize;Rank GT+2x5s;Rank;VideoRank;time;ts;category;type;query;filter
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;10000;;;;73;1654511445;TEXT;JointEmbedding;CLIP: our weeding slate;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;86;1654511458;BROWSING;DetailWindowOpen;8485:1254;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;99;1654511471;BROWSING;DetailWindowClose;8485:1254;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;116;1654511488;BROWSING;DetailWindowOpen;874:14356;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;120;1654511492;BROWSING;DetailWindowClose;874:14356;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;10000;;;;132;1654511504;IMAGE;feedbackModel;Bayes CLIP 8154:7567_9981:240_16766:4525_12000:1731_12898:700_10925:75_17126:1356_6874:690_5693:426_2399:7944_| group:1|7611:318_874:14356_;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;140;1654511512;BROWSING;DetailWindowOpen;2211:7109;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;148;1654511520;BROWSING;DetailWindowClose;2211:7109;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;66;;;;190;1654511562;IMAGE;JointEmbedding;2211:7109 : rows=True;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;234;1654511606;BROWSING;SimilarityDetailClose;2211:7109;1654511504
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;250;1654511622;BROWSING;DetailWindowOpen;15684:5006;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;253;1654511625;BROWSING;DetailWindowClose;15684:5006;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;10000;;;;261;1654511633;IMAGE;feedbackModel;Bayes CLIP 874:14356_10359:4603_8453:2368_8133:2116_13244:892_874:13037_4261:3425_7611:4310_2211:204_14267:138_| group:1|15684:5006_;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;;;;;313;1654511685;BROWSING;RESET;;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;10000;;;741;45;1654512008;TEXT;JointEmbedding;CLIP: lilac;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;10000;2886;2886;576;66;1654512029;TEXT;JointEmbedding;Temporal CLIP: mountain >  lilac;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;10000;909;909;404;104;1654512067;TEXT;JointEmbedding;Temporal CLIP: lilac > rain;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;10000;176;176;176;131;1654512094;IMAGE;feedbackModel;Temporal Bayes CLIP 14855:96_14676:6288_16302:707_1872:6294_13597:2575_5627:6_16976:33162_15888:450_8580:3698_1872:5177_| group:1|8580:3644_;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;10000;37;37;37;164;1654512127;IMAGE;feedbackModel;Temporal Bayes CLIP 8580:3369_1872:6294_1872:4510_1207:4319_1207:1425_1207:5731_14676:6369_1207:988_16912:9612_13212:1238_| group:1|8608:38200_5592:1281_;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;;;;;182;1654512145;BROWSING;DetailWindowOpen;6040:2506;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;;;;;183;1654512146;BROWSING;DetailWindowClose;6040:2506;
vbs22-kis-v01;1654511963;1654512268;6040: 2350-2725 : 25;;;;;184;1654512147;SUBMIT;;?item=06040&frame=2506&session=node04s1bujgqrqwhhamt3eqfrxvq16;{"submission":"CORRECT" "description":"Submission correct!" "status":true}
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;4631;4631;4631;77;1654512713;TEXT;JointEmbedding;CLIP: drawing of a bearded man;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;18;18;18;85;1654512721;TEXT;JointEmbedding;CLIP: drawing of a bearded man in magazine;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;5;5;5;144;1654512780;TEXT;JointEmbedding;CLIP: drawing of a bearded man in magazine vote for pedro;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;;;;154;1654512790;TEXT;JointEmbedding;CLIP:  vote for pedro;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;;;183;182;1654512818;TEXT;JointEmbedding;CLIP: http://hmon.ms.mff.cuni.cz:5000/clip/%20vote%20for%20pedro;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;17;1149;17;206;1654512842;TEXT;JointEmbedding;CLIP: mask sunglasses magazine drawing;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;10000;1566;4771;1566;276;1654512912;TEXT;JointEmbedding;Context-aware CLIP: mask sunglasses magazine drawing | white bearded man drawing black background;
vbs22-kis-t08;1654512636;1654513061;13108: 3230-3450 : 25;;;;;291;1654512927;BROWSING;RESET;;
vbs22-kis-t09;1654513093;1654513427;6057: 33600-34830 : 30;;;;;10;1654513103;BROWSING;RESET;;
vbs22-kis-t09;1654513093;1654513427;6057: 33600-34830 : 30;10000;2;2;2;27;1654513120;TEXT;JointEmbedding;CLIP: yellow slug;
vbs22-kis-t09;1654513093;1654513427;6057: 33600-34830 : 30;;;;;40;1654513133;BROWSING;VideoDetailOpen;6057:34665;
vbs22-kis-t09;1654513093;1654513427;6057: 33600-34830 : 30;;;;;46;1654513139;BROWSING;VideoDetailClose;6057:34665;1654513120
vbs22-kis-t09;1654513093;1654513427;6057: 33600-34830 : 30;;;;;243;1654513336;BROWSING;RESET;;
vbs22-kis-t10;1654513508;1654513933;12956: 4436-4603 : 23.976025;10000;62;62;62;22;1654513530;TEXT;JointEmbedding;CLIP: two man trying light fire on a beach;
vbs22-kis-t10;1654513508;1654513933;12956: 4436-4603 : 23.976025;;;;;25;1654513533;BROWSING;DetailWindowOpen;13623:3675;
vbs22-kis-t10;1654513508;1654513933;12956: 4436-4603 : 23.976025;;;;;27;1654513535;BROWSING;DetailWindowClose;13623:3675;
vbs22-kis-t10;1654513508;1654513933;12956: 4436-4603 : 23.976025;10000;4;4;4;159;1654513667;TEXT;JointEmbedding;Temporal CLIP: two man trying light fire on a beach > cutting fish;
vbs22-kis-t10;1654513508;1654513933;12956: 4436-4603 : 23.976025;;;;;176;1654513684;BROWSING;RESET;;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;1914;1914;1914;41;1654514024;TEXT;JointEmbedding;Temporal CLIP: view to lower deck of a ship > man with a camera on a ship;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;553;553;553;92;1654514075;TEXT;JointEmbedding;Temporal CLIP: view to lower deck of a ship green floor and two orange chairs > man with a camera on a ship;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;127;1654514110;BROWSING;VideoDetailOpen;11612:120;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;150;1654514133;BROWSING;VideoDetailClose;11612:120;1654514075
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;162;1654514145;BROWSING;VideoDetailOpen;11612:262;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;166;1654514149;BROWSING;VideoDetailClose;11612:262;1654514075
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;936;936;936;190;1654514173;TEXT;JointEmbedding;CLIP: view to lower deck of a ship green floor and two orange chairs;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;194;1654514177;BROWSING;VideoDetailOpen;8895:5574;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;200;1654514183;BROWSING;VideoDetailClose;8895:5574;1654514173
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;2677;2677;2677;243;1654514226;TEXT;JointEmbedding;Temporal CLIP: view to lower deck of a ship green floor and two orange chairs > man wearing black trousers and grey jacket;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;543;543;543;314;1654514297;TEXT;JointEmbedding;CLIP: view to lower deck of a ship green floor and two orange chairs and water;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;332;1654514315;BROWSING;VideoDetailOpen;10110:3731;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;334;1654514317;BROWSING;VideoDetailClose;10110:3731;1654514297
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;150;150;150;368;1654514351;IMAGE;feedbackModel;Bayes CLIP 8493:3944_3616:2105_8493:4019_1823:750_11646:5225_6304:11431_7543:10377_13139:12306_8895:5162_10073:7362_| group:1|11612:390_;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;384;1654514367;BROWSING;VideoDetailOpen;4586:3806;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;387;1654514370;BROWSING;VideoDetailClose;4586:3806;1654514351
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;10000;87;87;87;397;1654514380;IMAGE;feedbackModel;Bayes CLIP 11612:390_11681:4082_5519:968_6304:2669_13830:7056_883:3019_9104:2756_15798:8350_10503:169_15798:8200_| group:1|8895:5162_;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;417;1654514400;BROWSING;DetailWindowOpen;15864:372;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;418;1654514401;BROWSING;DetailWindowClose;15864:372;
vbs22-kis-t11;1654513983;1654514408;15864: 312-623 : 23.976025;;;;;418;1654514401;SUBMIT;;?item=15864&frame=372&session=node04s1bujgqrqwhhamt3eqfrxvq16;{"submission":"CORRECT" "description":"Submission correct!" "status":true}
vbs22-kis-t12;1654514455;1654514880;7242: 1000-1300 : 25;10000;62;62;62;38;1654514493;TEXT;JointEmbedding;CLIP: sokit screen shot of a building with green facade with plants;
vbs22-kis-t12;1654514455;1654514880;7242: 1000-1300 : 25;;;;;44;1654514499;BROWSING;DetailWindowOpen;12932:4750;
vbs22-kis-t12;1654514455;1654514880;7242: 1000-1300 : 25;;;;;53;1654514508;BROWSING;DetailWindowClose;12932:4750;
vbs22-kis-t12;1654514455;1654514880;7242: 1000-1300 : 25;10000;6;6;6;101;1654514556;TEXT;JointEmbedding;CLIP: split screen shot of a building with green facade with plants;
vbs22-kis-t12;1654514455;1654514880;7242: 1000-1300 : 25;;;;;143;1654514598;BROWSING;VideoDetailOpen;7242:1250;
vbs22-kis-t12;1654514455;1654514880;7242: 1000-1300 : 25;;;;;148;1654514603;BROWSING;VideoDetailClose;7242:1250;1654514556
vbs22-kis-v02;1654593227;1654593532;8936: 2278-2565 : 23.976025;10000;5209;5209;983;28;1654593255;TEXT;JointEmbedding;CLIP: lunapark at night;
vbs22-kis-v02;1654593227;1654593532;8936: 2278-2565 : 23.976025;;;;;49;1654593276;BROWSING;1P/Video;;
vbs22-kis-v02;1654593227;1654593532;8936: 2278-2565 : 23.976025;10000;8547;8547;8547;78;1654593305;TEXT;JointEmbedding;Temporal CLIP: lunapark at night > person in panther jacket;
vbs22-kis-v02;1654593227;1654593532;8936: 2278-2565 : 23.976025;;;;;149;1654593376;BROWSING;RESET;;
vbs22-kis-v02;1654593227;1654593532;8936: 2278-2565 : 23.976025;10000;289;289;243;215;1654593442;TEXT;JointEmbedding;CLIP: circus at night with neon line;
vbs22-kis-v02;1654593227;1654593532;8936: 2278-2565 : 23.976025;;;;;249;1654593476;BROWSING;RESET;;
vbs22-kis-v03;1654594161;1654594466;15998: 850-1325 : 25;10000;6;6;6;40;1654594201;TEXT;JointEmbedding;Temporal CLIP: face of a young man in front of two lights > piano;
vbs22-kis-v03;1654594161;1654594466;15998: 850-1325 : 25;;;;;44;1654594205;BROWSING;DetailWindowOpen;15998:1106;
vbs22-kis-v03;1654594161;1654594466;15998: 850-1325 : 25;;;;;45;1654594206;BROWSING;DetailWindowClose;15998:1106;
vbs22-kis-v03;1654594161;1654594466;15998: 850-1325 : 25;;;;;46;1654594207;SUBMIT;;?item=15998&frame=1106&session=node0rcik3863lmmay3avpmegiksr145;{"submission":"CORRECT" "description":"Submission correct!" "status":true}
vbs22-kis-v04;1654594549;1654594854;14057: 15533-15974 : 29.97003;10000;;;68;32;1654594581;TEXT;JointEmbedding;Temporal CLIP: white fence young people > marina;
vbs22-kis-v04;1654594549;1654594854;14057: 15533-15974 : 29.97003;10000;2368;2368;2129;69;1654594618;TEXT;JointEmbedding;Temporal CLIP: wooden fence > white fence young people;
vbs22-kis-v04;1654594549;1654594854;14057: 15533-15974 : 29.97003;10000;298;298;298;93;1654594642;IMAGE;feedbackModel;Temporal Bayes CLIP 13767:21570_6317:5342_6317:5455_6317:5327_6317:5589_6200:15788_13767:21300_6653:3492_15444:3181_2152:7747_| group:1|4576:1337_| group:2|9893:1783_;
vbs22-kis-v04;1654594549;1654594854;14057: 15533-15974 : 29.97003;;;;;143;1654594692;BROWSING;RESET;;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;10000;1062;1062;173;38;1654594945;TEXT;JointEmbedding;CLIP: snowboarder with red jacket jumping on u ramp;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;60;1654594967;BROWSING;2P/Video;;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;10000;482;482;53;76;1654594983;TEXT;JointEmbedding;CLIP: snowboarder with red jacket and black trousersjumping on u ramp;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;10000;563;563;309;80;1654594987;TEXT;JointEmbedding;CLIP: snowboarder with red jacket and black trousers jumping on uramp;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;84;1654594991;BROWSING;VideoDetailOpen;4268:5469;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;93;1654595000;BROWSING;VideoDetailClose;4268:5469;1654594987
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;103;1654595010;BROWSING;5P/Video;;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;105;1654595012;BROWSING;2P/Video;;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;10000;2365;2365;738;149;1654595056;TEXT;JointEmbedding;Temporal CLIP: snowboarder with red jacket and black trousers > ramp snow;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;250;1654595157;BROWSING;RESET;;
vbs22-kis-v05;1654594907;1654595212;16362: 4925-5250 : 25;;;;;283;1654595190;BROWSING;RESET;;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;;;;32;1654595318;TEXT;JointEmbedding;Temporal CLIP: station on mountain > coast;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;542;542;415;40;1654595326;TEXT;JointEmbedding;Temporal CLIP: station on mountain hawai > coast;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;5214;5214;402;53;1654595339;TEXT;JointEmbedding;Temporal CLIP: observatory on mountain> coast;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;955;955;367;70;1654595356;IMAGE;feedbackModel;Temporal Bayes CLIP 6795:682_6517:7897_6594:9581_6594:8988_6335:3481_1012:1494_5911:6538_9990:1101_4791:4166_6594:7056_| group:1|12866:2238_;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;194;194;77;88;1654595374;IMAGE;feedbackModel;Temporal Bayes CLIP 12866:2112_6517:7897_5911:6538_1289:4294_5911:6269_6795:682_14090:3975_4791:4166_6335:3481_12107:4806_| group:1|3827:6983_;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;107;1654595393;BROWSING;VideoDetailOpen;8908:7081;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;116;1654595402;BROWSING;VideoDetailClose;8908:7081;1654595374
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;43;43;16;123;1654595409;IMAGE;feedbackModel;Temporal Bayes CLIP 12866:2112_3827:6833_10323:6142_6517:7897_1012:1494_5179:1678_11927:4855_4791:4166_4001:1986_14090:3975_| group:1|8908:7081_;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;131;1654595417;BROWSING;VideoDetailOpen;5717:25707;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;134;1654595420;BROWSING;VideoDetailSortBySimilarity;5717:25707;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;138;1654595424;BROWSING;VideoDetailClose;5717:25707;1654595409
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;557;22;22;22;141;1654595427;IMAGE;JointEmbedding;5717:25707 : rows=False;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;143;1654595429;BROWSING;SimilarityDetailClose;5717:25707;1654595409
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;557;22;22;22;145;1654595431;IMAGE;JointEmbedding;5717:25707 : rows=True;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;153;1654595439;BROWSING;VideoDetailOpen;8374:22650;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;157;1654595443;BROWSING;VideoDetailClose;8374:22650;1654595431
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;168;1654595454;BROWSING;SimilarityDetailClose;5717:25707;1654595409
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;10000;19;19;14;176;1654595462;IMAGE;feedbackModel;Temporal Bayes CLIP 12866:2112_3827:6833_10323:6142_6517:7897_8908:6912_5717:25594_5179:1851_1012:1594_11927:5140_5717:17075_| group:1|5717:25707_;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;191;1654595477;BROWSING;VideoDetailOpen;15870:2181;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;197;1654595483;BROWSING;DetailWindowOpen;15870:2181;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;200;1654595486;BROWSING;DetailWindowClose;15870:2181;
vbs22-kis-v06;1654595286;1654595591;15870: 2050-2275 : 25;;;;;201;1654595487;SUBMIT;;?item=15870&frame=2181&session=node0rcik3863lmmay3avpmegiksr145;{"submission":"CORRECT" "description":"Submission correct!" "status":true}
vbs22-kis-v07;1654598019;1654598324;6681: 4320-4830 : 30;10000;10;10;2;23;1654598042;TEXT;JointEmbedding;CLIP: acrobat on bridge in mountain : river valley;
vbs22-kis-v07;1654598019;1654598324;6681: 4320-4830 : 30;10000;20;20;1;37;1654598056;TEXT;JointEmbedding;Temporal CLIP: acrobat on bridge in mountain > river valley;
vbs22-kis-v07;1654598019;1654598324;6681: 4320-4830 : 30;10000;2;2;2;75;1654598094;TEXT;JointEmbedding;Temporal CLIP: acrobat on bridge in mountain > green river valley;
vbs22-kis-v07;1654598019;1654598324;6681: 4320-4830 : 30;;;;;82;1654598101;BROWSING;DetailWindowOpen;6681:4470;
vbs22-kis-v07;1654598019;1654598324;6681: 4320-4830 : 30;;;;;83;1654598102;BROWSING;DetailWindowClose;6681:4470;
vbs22-kis-v07;1654598019;1654598324;6681: 4320-4830 : 30;;;;;83;1654598102;SUBMIT;;?item=06681&frame=4470&session=node0rcik3863lmmay3avpmegiksr145;{"submission":"CORRECT" "description":"Submission correct!" "status":true}
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;10000;342;342;342;23;1654598434;TEXT;JointEmbedding;Temporal CLIP: two runners in greeen t-shirts in wood > dog;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;10000;692;692;692;36;1654598447;TEXT;JointEmbedding;Temporal CLIP: two runners in green t-shirts in wood > dog;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;10000;293;293;293;81;1654598492;TEXT;JointEmbedding;Temporal CLIP: two runners in green t-shirts> dog;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;8426;2281;2281;2281;122;1654598533;TEXT;JointEmbedding;Temporal CLIP: dog and sun > bikes;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;10000;3241;3241;810;130;1654598541;TEXT;JointEmbedding;Temporal CLIP: dog and sun > bikes in woods;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;10000;928;928;239;164;1654598575;TEXT;JointEmbedding;Temporal CLIP: dog and sun > bikes in woods green t-shirts;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;10000;9;9;9;196;1654598607;IMAGE;feedbackModel;Temporal Bayes CLIP 9691:3912_4228:1175_11326:1006_7431:25319_9691:2819_15411:2694_7431:12425_5214:3285_12839:2325_9458:30288_| group:1|1215:2369_| group:2|16833:4362_;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;;;;;203;1654598614;BROWSING;DetailWindowOpen;6991:3818;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;;;;;204;1654598615;BROWSING;DetailWindowClose;6991:3818;
vbs22-kis-v08;1654598411;1654598716;6991: 3692-4172 : 23.976025;;;;;205;1654598616;SUBMIT;;?item=06991&frame=3818&session=node0rcik3863lmmay3avpmegiksr145;{"submission":"CORRECT" "description":"Submission correct!" "status":true}
vbs22-kis-v09;1654598788;1654599093;6908: 240-839 : 29.97003;10000;;;9031;23;1654598811;TEXT;JointEmbedding;CLIP: collar man on shore;
vbs22-kis-v09;1654598788;1654599093;6908: 240-839 : 29.97003;10000;2994;2994;2994;31;1654598819;TEXT;JointEmbedding;CLIP: collar man in suit;
vbs22-kis-v09;1654598788;1654599093;6908: 240-839 : 29.97003;10000;264;264;264;39;1654598827;TEXT;JointEmbedding;CLIP: collar man in suit in dark;
